Predicción,Actual
0.0,0.01
41.010000000000005,16.1
0.9020000000000001,0.74
0.9125000000000001,0.54
0.15785714285714286,0.26
3.31,5.68
1.4133333333333333,1.62
0.9020000000000001,0.52
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
13.774285714285714,4.27
1.44,1.48
0.0,0.0
1.44,1.59
0.0,0.0
1.44,1.22
13.774285714285714,6.6
0.382,1.09
1.455,0.72
0.382,0.15
0.764,0.81
1.7055555555555557,2.9
0.382,0.19
2.401666666666667,0.92
0.0,0.0
0.0225,0.01
0.15785714285714286,0.1
0.382,0.1
1.455,1.36
0.0,0.0
1.4133333333333333,1.39
0.39,0.32
1.4133333333333333,1.6
1.195,1.75
0.028000000000000004,0.01
4.720000000000001,2.85
2.401666666666667,0.85
0.0,0.0
4.720000000000001,3.94
13.774285714285714,28.03
0.382,0.25
0.0,0.0
0.39,0.38
0.4,0.27
7.638,5.89
0.05714285714285715,0.01
0.0225,0.08
0.62,0.41
0.164,0.15
0.15785714285714286,0.11
13.774285714285714,7.64
0.382,0.85
3.5833333333333335,2.22
13.774285714285714,13.45
1.875,2.31
3.044285714285714,3.47
1.875,1.69
0.15785714285714286,0.14
0.9125000000000001,0.66
0.14125000000000001,0.11
0.0,0.0
0.15785714285714286,0.22
0.11333333333333333,0.08
0.14125000000000001,0.1
1.195,1.59
0.0225,0.02
24.684285714285718,28.19
0.0,0.0
0.4,0.61
24.684285714285718,15.92
0.4971428571428572,0.27
0.164,0.099
0.4,0.24
0.11333333333333333,0.06
41.010000000000005,32.53
0.15785714285714286,0.17
3.5833333333333335,1.01
0.382,0.19
0.382,0.17
0.0,0.0
1.455,0.71
0.0,0.0
0.0,0.0
4.720000000000001,4.11
0.0225,0.05
0.764,0.5
0.0,0.0
10.5,27.75
0.15785714285714286,0.22
0.62,0.53
